2021-06-16 14:35:07 utc | Portfolio Cross v1 (alpha2) |  Portfolio Cross v1 (alpha2) strategy has started
2021-06-17 00:02:03 utc | Portfolio Cross v1 (alpha2) |  short %23XRP/USDT reset ATR stop price from 0.97809 to 0.8338 STOP LOSS was updated from 1.475804$ to 1.331514$  entry price: 0.97809$ | %23TP1XRP/USDT
2021-06-17 00:02:04 utc | Portfolio Cross v1 (alpha2) |  short %23EOS/USDT reset ATR stop price from 5.4428 to 4.8616 STOP LOSS was updated from 8.961606$ to 8.380406$  entry price: 5.4428$ | %23TP1EOS/USDT
2021-06-17 00:02:04 utc | Portfolio Cross v1 (alpha2) |  short %23LTC/USDT reset ATR stop price from 194.62079 to 166.59 STOP LOSS was updated from 288.359570$ to 260.328780$  entry price: 194.62079$ | %23TP1LTC/USDT
2021-06-17 00:02:04 utc | Portfolio Cross v1 (alpha2) |  short %23ETC/USDT reset ATR stop price from 55.68038 to 55.478 STOP LOSS was updated from 93.608401$ to 93.406021$  entry price: 55.68038$ 
2021-06-17 00:02:05 utc | Portfolio Cross v1 (alpha2) |  short %23XLM/USDT reset ATR stop price from 0.43767 to 0.31795 STOP LOSS was updated from 0.648361$ to 0.528641$  entry price: 0.43767$ | %23TP1XLM/USDT
2021-06-17 00:02:05 utc | Portfolio Cross v1 (alpha2) |  short %23DASH/USDT reset ATR stop price from 215.78443 to 164.56 STOP LOSS was updated from 320.637059$ to 269.412629$  entry price: 215.78443$ | %23TP1DASH/USDT
2021-06-17 00:02:05 utc | Portfolio Cross v1 (alpha2) |  short %23ZEC/USDT reset ATR stop price from 148.10296 to 137.04 STOP LOSS was updated from 241.854702$ to 230.791742$  entry price: 148.10296$ | %23TP1ZEC/USDT
2021-06-17 00:02:06 utc | Portfolio Cross v1 (alpha2) |  short %23ONT/USDT reset ATR stop price from 1.36399 to 0.917 STOP LOSS was updated from 2.062272$ to 1.615282$  entry price: 1.36399$ | %23TP1ONT/USDT
2021-06-17 00:02:06 utc | Portfolio Cross v1 (alpha2) |  short %23IOTA/USDT reset ATR stop price from 1.40885 to 1.0662 STOP LOSS was updated from 2.117907$ to 1.775257$  entry price: 1.40885$ | %23TP2IOTA/USDT
2021-06-17 00:02:06 utc | Portfolio Cross v1 (alpha2) |  short %23BAT/USDT reset ATR stop price from 1.0738 to 0.6576 STOP LOSS was updated from 1.482713$ to 1.066513$  entry price: 1.0738$ | %23TP2BAT/USDT
2021-06-17 00:02:06 utc | Portfolio Cross v1 (alpha2) |  short %23VET/USDT reset ATR stop price from 0.139524 to 0.10795 STOP LOSS was updated from 0.218571$ to 0.186997$  entry price: 0.139524$ | %23TP1VET/USDT
2021-06-17 00:02:07 utc | Portfolio Cross v1 (alpha2) |  short %23NEO/USDT reset ATR stop price from 59.23476 to 48.732 STOP LOSS was updated from 91.115422$ to 80.612662$  entry price: 59.23476$ | %23TP1NEO/USDT
2021-06-17 00:02:07 utc | Portfolio Cross v1 (alpha2) |  short %23QTUM/USDT reset ATR stop price from 13.3242 to 8.703 STOP LOSS was updated from 20.523498$ to 15.902298$  entry price: 13.3242$ | %23TP2QTUM/USDT
2021-06-17 00:02:07 utc | Portfolio Cross v1 (alpha2) |  short %23ZIL/USDT reset ATR stop price from 0.17233 to 0.10419 STOP LOSS was updated from 0.249001$ to 0.180861$  entry price: 0.17233$ | %23TP2ZIL/USDT
2021-06-17 00:02:08 utc | Portfolio Cross v1 (alpha2) |  short %23KNC/USDT reset ATR stop price from 2.58772 to 2.063 STOP LOSS was updated from 3.972035$ to 3.447315$  entry price: 2.58772$ | %23TP2KNC/USDT
2021-06-17 00:02:08 utc | Portfolio Cross v1 (alpha2) |  short %23ZRX/USDT reset ATR stop price from 1.62299 to 0.8673 STOP LOSS was updated from 2.212009$ to 1.456319$  entry price: 1.62299$ | %23TP2ZRX/USDT
2021-06-17 00:02:08 utc | Portfolio Cross v1 (alpha2) |  short %23OMG/USDT reset ATR stop price from 5.7462 to 5.0612 STOP LOSS was updated from 9.503062$ to 8.818062$  entry price: 5.7462$ | %23TP1OMG/USDT
2021-06-17 00:02:09 utc | Portfolio Cross v1 (alpha2) |  short %23DOGE/USDT reset ATR stop price from 0.3363 to 0.30848 STOP LOSS was updated from 0.533039$ to 0.505219$  entry price: 0.3363$ 
2021-06-17 00:02:09 utc | Portfolio Cross v1 (alpha2) |  short %23RLC/USDT reset ATR stop price from 4.67593 to 3.7729 STOP LOSS was updated from 8.504042$ to 7.601012$  entry price: 4.67593$ | %23TP1RLC/USDT
2021-06-17 00:02:09 utc | Portfolio Cross v1 (alpha2) |  short %23WAVES/USDT reset ATR stop price from 17.64826 to 16.825 STOP LOSS was updated from 28.506132$ to 27.682872$  entry price: 17.64826$ | %23TP1WAVES/USDT
2021-06-17 00:02:10 utc | Portfolio Cross v1 (alpha2) |  short %23DOT/USDT reset ATR stop price from 26.715 to 23.087 STOP LOSS was updated from 42.120929$ to 38.492929$  entry price: 26.715$ | %23TP1DOT/USDT
2021-06-17 00:02:10 utc | Portfolio Cross v1 (alpha2) |  short %23CRV/USDT reset ATR stop price from 2.179 to 2.072 STOP LOSS was updated from 3.707675$ to 3.600675$  entry price: 2.179$ | %23TP2CRV/USDT
2021-06-17 00:02:10 utc | Portfolio Cross v1 (alpha2) |  short %23YFII/USDT reset ATR stop price from 2027.6382 to 1808.56 STOP LOSS was updated from 2949.698537$ to 2730.620337$  entry price: 2027.6382$ | %23TP1YFII/USDT
2021-06-17 00:02:11 utc | Portfolio Cross v1 (alpha2) |  short %23ICX/USDT reset ATR stop price from 2.1251 to 1.0119 STOP LOSS was updated from 2.889983$ to 1.776783$  entry price: 2.1251$ | %23TP2ICX/USDT
2021-06-17 01:02:03 utc | Portfolio Cross v1 (alpha2) |  short %23KNC/USDT reset ATR stop price from 2.063 to 2.059 STOP LOSS was updated from 3.447315$ to 3.443315$  entry price: 2.58772$ | %23TP2KNC/USDT
2021-06-17 02:01:58 utc | Portfolio Cross v1 (alpha2) |  short %23ZIL/USDT reset ATR stop price from 0.10419 to 0.10405 STOP LOSS was updated from 0.180861$ to 0.180721$  entry price: 0.17233$ | %23TP2ZIL/USDT
2021-06-17 02:01:58 utc | Portfolio Cross v1 (alpha2) |  short %23KNC/USDT reset ATR stop price from 2.059 to 2.03 STOP LOSS was updated from 3.443315$ to 3.414315$  entry price: 2.58772$ | %23TP2KNC/USDT
2021-06-17 06:02:02 utc | Portfolio Cross v1 (alpha2) |  short %23KNC/USDT reset ATR stop price from 2.03 to 2.028 STOP LOSS was updated from 3.414315$ to 3.412315$  entry price: 2.58772$ | %23TP2KNC/USDT
