time,open,high,low,close,volume
2019-04-25,2.3702,2.4313,2.1811,2.2033,154234.82
2019-04-26,2.2,2.2789,2.1227,2.2051,151281.58
2019-04-27,2.2157,2.2287,2.11,2.1695,138766.27
2019-04-28,2.1695,2.1973,2.0749,2.0942,136169.37
2019-04-29,2.0899,2.1263,1.9364,1.9912,155625.57
2019-04-30,1.9834,2.3099,1.967,2.2527,282116.21
2019-05-01,2.2529,2.2782,2.1274,2.1526,109626.37
2019-05-02,2.14,2.1808,2.1218,2.1629,111266.2
2019-05-03,2.1587,2.2364,2.1388,2.2235,207840.24
2019-05-04,2.2235,2.2624,2.08,2.1501,136007.97
2019-05-05,2.1501,2.1501,2.0177,2.0846,89128.0
2019-05-06,2.0857,2.2131,2.0306,2.1467,115328.39
2019-05-07,2.1456,2.4763,2.0825,2.0825,861006.42
2019-05-08,2.0875,2.2587,2.0416,2.2193,533924.02
2019-05-09,2.2133,2.4483,2.1233,2.3415,333284.39
2019-05-10,2.343,2.3854,2.2113,2.2664,196269.27
2019-05-11,2.2673,2.5099,2.2579,2.424,920781.08
2019-05-12,2.4297,2.5727,2.307,2.4256,557403.8
2019-05-13,2.4085,2.5119,2.3006,2.3626,872438.57
2019-05-14,2.3657,2.4435,2.2683,2.3559,800517.82
2019-05-15,2.3552,2.7545,2.3551,2.5693,1219028.79
2019-05-16,2.5813,2.7554,2.429,2.5188,1159623.42
2019-05-17,2.5186,2.5397,2.1912,2.4135,609153.91
2019-05-18,2.4127,2.4363,2.285,2.3813,438562.68
2019-05-19,2.3935,2.5902,2.3799,2.5318,668142.97
2019-05-20,2.5491,2.5491,2.3202,2.4393,649104.08
2019-05-21,2.4483,2.5629,2.37,2.4716,847222.88
2019-05-22,2.4614,2.534,2.31,2.3588,861468.76
2019-05-23,2.3588,3.28,2.3104,3.28,2387801.38
2019-05-24,3.28,3.5498,2.6605,2.6733,2907411.14
2019-05-25,2.6733,2.7677,2.6118,2.717,1043926.34
2019-05-26,2.7161,2.77,2.565,2.679,653761.05
2019-05-27,2.6845,2.7841,2.6601,2.7265,826636.54
2019-05-28,2.7154,2.8708,2.7,2.7559,699789.22
2019-05-29,2.7481,2.7638,2.63,2.6688,386997.8
2019-05-30,2.6688,2.76,2.4513,2.5428,1148612.15
2019-05-31,2.5444,2.6483,2.5001,2.6385,390179.74
2019-06-01,2.6432,2.684,2.5717,2.6044,326519.38
2019-06-02,2.6073,2.6829,2.5643,2.6546,563820.68
2019-06-03,2.6546,2.6623,2.4124,2.4169,828994.84
2019-06-04,2.4114,2.4268,2.2401,2.3174,734841.77
2019-06-05,2.3174,2.366,2.2464,2.3065,408103.68
2019-06-06,2.2958,2.3485,2.191,2.2993,359785.1
2019-06-07,2.2999,2.4182,2.2622,2.3701,707665.14
2019-06-08,2.3601,2.4114,2.3088,2.3638,290431.15
2019-06-09,2.3604,2.4171,2.2302,2.2735,284244.48
2019-06-10,2.2751,2.38,2.23,2.371,347151.04
2019-06-11,2.371,2.4069,2.3025,2.3773,534127.14
2019-06-12,2.3772,2.455,2.3366,2.4361,322560.23
2019-06-13,2.4411,2.5046,2.4193,2.4726,402689.07
2019-06-14,2.4826,2.499,2.2579,2.3768,604669.04
2019-06-15,2.3748,2.4374,2.3325,2.4139,219361.12
2019-06-16,2.4118,2.575,2.33,2.4249,910397.83
2019-06-17,2.4243,2.5189,2.4089,2.4414,281260.2
2019-06-18,2.444,2.444,2.3455,2.3877,228794.42
2019-06-19,2.3877,2.4336,2.3555,2.4335,214604.03
2019-06-20,2.4299,2.4441,2.3259,2.3716,278388.59
2019-06-21,2.3713,2.4333,2.3159,2.34,440084.05
2019-06-22,2.34,2.4929,2.3043,2.41,716404.57
2019-06-23,2.4198,2.4536,2.351,2.3636,441370.22
2019-06-24,2.3702,2.4225,2.3,2.3652,398014.94
2019-06-25,2.3662,2.4028,2.2855,2.3049,665050.12
2019-06-26,2.315,2.3666,1.9917,2.1854,1131088.94
2019-06-27,2.1846,2.1926,1.8335,1.854,1173335.56
2019-06-28,1.8656,2.0222,1.84,2.0077,894708.27
2019-06-29,2.0083,2.0202,1.865,1.9655,853291.0
2019-06-30,1.9725,1.98,1.807,1.8208,811722.05
2019-07-01,1.8309,1.95,1.7862,1.8845,569100.2
2019-07-02,1.8749,1.9227,1.7055,1.8233,609021.98
2019-07-03,1.8201,1.956,1.7936,1.9484,681500.94
2019-07-04,1.939,1.9458,1.8093,1.8185,277066.98
2019-07-05,1.8185,1.8542,1.7665,1.7886,322979.91
2019-07-06,1.7851,2.2,1.769,1.9468,2581472.68
2019-07-07,1.9468,2.275,1.9102,2.0511,4211284.55
2019-07-08,2.0506,2.0664,1.8675,1.8878,2718738.24
2019-07-09,1.8928,1.9007,1.781,1.8193,973960.34
2019-07-10,1.817,1.8444,1.6656,1.7116,997611.73
2019-07-11,1.7099,1.7108,1.4568,1.4892,746714.99
2019-07-12,1.4848,1.7722,1.4692,1.6211,1420788.46
2019-07-13,1.6212,1.6433,1.51,1.5463,485730.78
2019-07-14,1.5471,1.7145,1.45,1.4768,1136437.02
2019-07-15,1.4768,1.5918,1.3,1.4903,1969873.2
2019-07-16,1.4887,1.66,1.432,1.446,2643209.22
2019-07-17,1.4398,1.4579,1.3423,1.404,1533317.34
2019-07-18,1.4045,1.5376,1.3725,1.491,1396330.9
2019-07-19,1.491,1.4982,1.4211,1.4608,698573.52
2019-07-20,1.4628,1.533,1.4441,1.489,798240.26
2019-07-21,1.489,1.5019,1.4171,1.4651,742259.61
2019-07-22,1.4652,1.476,1.3959,1.428,478653.45
2019-07-23,1.428,1.4436,1.312,1.3659,594764.47
2019-07-24,1.3653,1.402,1.2999,1.3741,355388.4
2019-07-25,1.37,1.4279,1.3672,1.4083,331088.6
2019-07-26,1.4019,1.432,1.3653,1.4249,189105.4
2019-07-27,1.4234,1.45,1.3216,1.35,255352.57
2019-07-28,1.3539,1.3628,1.2845,1.3528,234727.49
2019-07-29,1.3523,1.44,1.343,1.3817,555255.85
2019-07-30,1.3734,1.3876,1.351,1.3704,202992.29
2019-07-31,1.3637,1.411,1.3609,1.372,250515.04
2019-08-01,1.3723,1.3933,1.3478,1.3592,275823.62
2019-08-02,1.3593,1.3857,1.3401,1.353,379715.51
2019-08-03,1.3501,1.3872,1.3431,1.3699,281298.62
2019-08-04,1.3704,1.3787,1.3136,1.3577,178161.05
2019-08-05,1.3617,1.4475,1.35,1.4137,490067.74
2019-08-06,1.4093,1.4306,1.3313,1.3584,603364.24
2019-08-07,1.3576,1.3729,1.3117,1.3625,326314.86
2019-08-08,1.3624,1.3817,1.2944,1.3392,337596.11
2019-08-09,1.336,1.348,1.2706,1.2891,173044.5
2019-08-10,1.289,1.3249,1.2707,1.304,174199.42
2019-08-11,1.3034,1.3704,1.3007,1.3226,192010.26
2019-08-12,1.3204,1.3437,1.2802,1.3107,319373.76
2019-08-13,1.3156,1.3156,1.2711,1.2838,263840.45
2019-08-14,1.2867,1.304,1.1797,1.2067,371850.32
2019-08-15,1.2048,1.2222,1.1498,1.213,151997.78
2019-08-16,1.2081,1.2212,1.1566,1.2023,197411.37
2019-08-17,1.1961,1.23,1.1789,1.2016,93168.98
2019-08-18,1.2016,1.2705,1.1903,1.26,140382.38
2019-08-19,1.2596,1.278,1.2317,1.2585,122926.91
2019-08-20,1.2585,1.2849,1.228,1.2393,196730.34
