time,open,high,low,close,volume
2019-04-25,9.889,10.325,9.45,9.584,548173.978
2019-04-26,9.582,9.979,9.15,9.489,623835.668
2019-04-27,9.48,9.745,9.308,9.544,290047.636
2019-04-28,9.542,9.738,9.23,9.36,181636.793
2019-04-29,9.364,10.038,9.28,9.44,651375.134
2019-04-30,9.443,9.736,9.3,9.729,406776.272
2019-05-01,9.734,9.861,9.443,9.703,358496.087
2019-05-02,9.707,10.119,9.602,9.831,289341.959
2019-05-03,9.831,10.15,9.71,9.929,472296.082
2019-05-04,9.945,10.16,9.21,9.447,463890.138
2019-05-05,9.456,9.6,9.163,9.235,276635.845
2019-05-06,9.241,9.387,8.818,9.158,455897.252
2019-05-07,9.161,9.423,8.864,8.914,451101.892
2019-05-08,8.907,9.07,8.7,9.043,258303.004
2019-05-09,9.051,9.313,8.5,8.663,460548.132
2019-05-10,8.655,9.089,8.333,8.775,527103.358
2019-05-11,8.782,10.23,8.767,9.637,987767.791
2019-05-12,9.658,10.07,8.983,9.323,812739.205
2019-05-13,9.312,9.999,9.251,9.707,625944.013
2019-05-14,9.713,11.138,9.658,11.051,1310373.494
2019-05-15,11.05,12.957,10.896,12.85,929662.771
2019-05-16,12.835,13.869,11.338,12.089,2118855.935
2019-05-17,12.09,12.284,10.466,11.265,1484713.87
2019-05-18,11.257,11.455,10.52,10.7,839477.963
2019-05-19,10.702,11.949,10.66,11.655,1209699.396
2019-05-20,11.651,12.455,10.733,11.998,1476745.191
2019-05-21,11.998,12.572,11.671,12.079,1007072.877
2019-05-22,12.08,12.314,11.05,11.154,763204.829
2019-05-23,11.152,11.472,10.704,11.411,611529.695
2019-05-24,11.402,11.927,11.07,11.519,556416.548
2019-05-25,11.525,11.683,11.313,11.416,321760.134
2019-05-26,11.402,12.104,11.118,11.836,559386.468
2019-05-27,11.825,12.799,11.813,12.363,919217.152
2019-05-28,12.36,12.825,11.937,12.662,808033.195
2019-05-29,12.654,14.47,11.739,13.633,1940199.471
2019-05-30,13.629,14.962,12.129,12.575,2125262.974
2019-05-31,12.576,13.639,12.15,13.543,975227.564
2019-06-01,13.543,14.371,13.25,13.709,1203666.093
2019-06-02,13.705,14.163,13.6,14.11,543437.242
2019-06-03,14.121,14.136,12.4,12.418,793633.113
2019-06-04,12.418,12.492,11.02,11.475,1108710.842
2019-06-05,11.481,11.844,11.171,11.575,603882.111
2019-06-06,11.57,11.836,11.02,11.628,522951.955
2019-06-07,11.652,12.53,11.441,12.167,800189.379
2019-06-08,12.167,12.444,11.675,11.971,413633.344
2019-06-09,11.966,12.071,11.22,11.475,366312.646
2019-06-10,11.446,12.46,11.341,12.292,765456.993
2019-06-11,12.292,12.42,11.688,12.268,551517.813
2019-06-12,12.27,12.987,12.056,12.903,768700.112
2019-06-13,12.913,13.557,12.615,13.042,870095.237
2019-06-14,13.053,13.511,12.477,13.442,776671.341
2019-06-15,13.442,14.418,13.442,13.945,1055592.314
2019-06-16,13.94,14.48,13.76,13.985,750530.098
2019-06-17,13.994,14.723,13.891,14.197,845362.361
2019-06-18,14.191,14.224,13.216,13.668,692760.86
2019-06-19,13.668,13.979,13.484,13.719,315635.482
2019-06-20,13.711,13.755,13.174,13.538,320080.833
2019-06-21,13.538,14.048,13.538,14.01,446416.666
2019-06-22,14.026,19.05,13.8,17.481,2989487.945
2019-06-23,17.465,18.886,16.71,16.859,1589345.412
2019-06-24,16.853,18.45,16.376,17.971,1023920.892
2019-06-25,17.974,19.744,17.534,19.606,1583895.508
2019-06-26,19.609,20.985,17.016,19.367,2383581.973
2019-06-27,19.367,20.273,16.2,17.201,1456056.523
2019-06-28,17.2,18.758,17.014,18.227,951372.409
2019-06-29,18.241,19.1,17.401,18.434,857250.187
2019-06-30,18.422,18.604,16.731,16.747,633301.448
2019-07-01,16.774,17.338,15.503,16.956,866992.13
2019-07-02,16.955,18.308,16.123,17.937,1126959.069
2019-07-03,17.943,18.065,17.208,17.904,627108.537
2019-07-04,17.903,18.019,16.928,17.011,426419.533
2019-07-05,17.019,17.498,16.711,17.029,328824.53
2019-07-06,17.035,17.4,16.81,16.853,270518.595
2019-07-07,16.841,17.257,16.52,17.188,245474.188
2019-07-08,17.188,17.601,16.8,17.524,364167.924
2019-07-09,17.522,17.966,16.88,17.245,473953.653
2019-07-10,17.225,17.459,15.425,16.195,554116.665
2019-07-11,16.195,16.195,14.203,14.645,623577.761
2019-07-12,14.645,15.515,14.3,15.322,375051.661
2019-07-13,15.339,15.371,13.525,14.156,475243.895
2019-07-14,14.166,14.309,11.847,12.021,787809.655
2019-07-15,12.011,12.489,11.218,12.281,782234.485
2019-07-16,12.285,12.592,10.006,10.202,900692.939
2019-07-17,10.206,11.329,9.722,10.764,840793.95
2019-07-18,10.771,13.483,10.53,13.01,1478659.764
2019-07-19,13.02,13.181,12.158,12.961,776060.822
2019-07-20,12.975,13.877,12.741,13.322,477497.358
2019-07-21,13.322,13.599,12.446,12.954,492448.982
2019-07-22,12.96,13.141,11.622,12.07,624916.979
2019-07-23,12.06,12.244,11.16,11.228,584158.173
2019-07-24,11.22,12.088,10.833,11.765,539124.571
2019-07-25,11.764,12.39,11.719,11.935,407450.142
2019-07-26,11.924,12.114,11.61,11.962,255656.418
2019-07-27,11.952,12.345,11.06,11.37,398244.367
2019-07-28,11.372,11.51,10.6,11.238,252217.667
2019-07-29,11.257,11.581,10.925,11.268,234631.57
2019-07-30,11.265,11.43,11.0,11.248,159913.853
2019-07-31,11.241,12.045,11.222,11.727,410016.576
