time,open,high,low,close,volume,ema_s,ema_l,ema_cross
2021-12-08 03:00:00,4.024,4.148,4.022,4.117,83149.0,,,0
2021-12-08 04:00:00,4.115,4.23,4.112,4.207,56824.2,,,0
2021-12-08 05:00:00,4.216,4.222,4.037,4.062,96158.3,,,0
2021-12-08 06:00:00,4.062,4.123,4.05,4.102,42578.7,,,0
2021-12-08 07:00:00,4.102,4.149,4.072,4.103,32454.4,,,0
2021-12-08 08:00:00,4.103,4.214,4.089,4.187,56219.3,,,0
2021-12-08 09:00:00,4.187,4.3,4.146,4.148,102611.5,,,0
2021-12-08 10:00:00,4.151,4.93,4.151,4.566,1117643.5,,,0
2021-12-08 11:00:00,4.567,4.998,4.438,4.898,1139731.7,,,0
2021-12-08 12:00:00,4.894,6.33,4.748,6.006,5710150.8,,,0
2021-12-08 13:00:00,6.007,6.068,5.344,5.378,2342703.9,,,0
2021-12-08 14:00:00,5.372,5.435,5.152,5.27,1071743.9,,,0
2021-12-08 15:00:00,5.264,5.35,5.12,5.318,551686.5,,,0
2021-12-08 16:00:00,5.312,5.333,4.975,4.994,521083.2,,,0
2021-12-08 17:00:00,4.994,5.197,4.994,5.182,498680.4,,,0
2021-12-08 18:00:00,5.184,5.324,5.03,5.045,652513.7,,,0
2021-12-08 19:00:00,5.045,5.195,5.031,5.069,172376.2,,,0
2021-12-08 20:00:00,5.069,5.104,4.905,4.954,266425.9,,,0
2021-12-08 21:00:00,4.955,5.1,4.882,4.992,203722.3,,,0
2021-12-08 22:00:00,4.992,5.074,4.867,4.873,129434.5,,,0
2021-12-08 23:00:00,4.879,5.033,4.872,4.975,135137.1,,,0
2021-12-09 00:00:00,4.976,5.091,4.976,5.024,177568.7,,,0
2021-12-09 01:00:00,5.019,5.024,4.829,4.881,196464.2,,,0
2021-12-09 02:00:00,4.877,4.892,4.705,4.78,224812.0,,,0
2021-12-09 03:00:00,4.784,4.85,4.74,4.77,118376.2,,,0
2021-12-09 04:00:00,4.769,4.897,4.759,4.868,69748.3,,,0
2021-12-09 05:00:00,4.868,4.896,4.737,4.744,69575.2,,,0
2021-12-09 06:00:00,4.74,4.743,4.564,4.621,216356.6,,,0
2021-12-09 07:00:00,4.621,4.691,4.537,4.641,168343.1,,,0
2021-12-09 08:00:00,4.641,4.641,4.539,4.605,95289.2,,,0
2021-12-09 09:00:00,4.603,4.605,4.402,4.505,236081.4,,,0
2021-12-09 10:00:00,4.497,4.588,4.408,4.556,168694.1,,,0
2021-12-09 11:00:00,4.556,4.757,4.515,4.652,332953.1,,,0
2021-12-09 12:00:00,4.651,5.07,4.625,5.047,535040.6,,,0
2021-12-09 13:00:00,5.038,5.098,4.818,4.866,286045.6,,,0
2021-12-09 14:00:00,4.865,4.978,4.736,4.752,127098.0,,,0
2021-12-09 15:00:00,4.752,4.807,4.595,4.687,96947.0,,,0
2021-12-09 16:00:00,4.697,4.842,4.631,4.832,88610.2,,,0
2021-12-09 17:00:00,4.831,4.916,4.754,4.794,58310.1,,,0
2021-12-09 18:00:00,4.779,4.787,4.587,4.606,82041.8,,,0
2021-12-09 19:00:00,4.606,4.643,4.553,4.559,38582.3,,,0
2021-12-09 20:00:00,4.554,4.584,4.472,4.56,46267.0,,,0
2021-12-09 21:00:00,4.556,4.663,4.519,4.645,34842.1,,,0
2021-12-09 22:00:00,4.645,4.75,4.645,4.7,41512.9,,,0
2021-12-09 23:00:00,4.707,4.765,4.623,4.629,44699.0,,,0
2021-12-10 00:00:00,4.622,4.679,4.595,4.605,48370.4,,,0
2021-12-10 01:00:00,4.61,4.673,4.581,4.641,43137.2,,,0
2021-12-10 02:00:00,4.648,4.657,4.465,4.482,240052.8,,,0
2021-12-10 03:00:00,4.487,4.501,4.362,4.385,183389.2,,,0
2021-12-10 04:00:00,4.386,4.453,4.373,4.415,69085.5,,,0
2021-12-10 05:00:00,4.417,4.444,4.345,4.357,40870.9,,,0
