time,open,high,low,close,volume
2019-10-25,0.46,1.644,0.46,1.2983,31814627.92
2019-10-26,1.2966,1.3612,0.9355,0.9762,12400051.14
2019-10-27,0.975,0.9996,0.7711,0.8068,7005026.47
2019-10-28,0.8127,1.0749,0.7335,0.9079,9038951.45
2019-10-29,0.9105,0.9656,0.8314,0.8694,4917546.31
2019-10-30,0.868,0.9036,0.8001,0.8565,2281113.86
2019-10-31,0.853,0.8565,0.7755,0.7999,1238606.17
2019-11-01,0.7998,0.8615,0.7699,0.8324,1976372.17
2019-11-02,0.8324,0.993,0.822,0.9501,4037814.98
2019-11-03,0.9501,1.2752,0.942,1.1706,10514830.74
2019-11-04,1.1706,1.388,1.0784,1.158,7974245.29
2019-11-05,1.1557,1.18,1.0251,1.0504,4385750.16
2019-11-06,1.0534,1.1,0.95,0.9658,2844899.11
2019-11-07,0.9686,1.1,0.9518,1.0609,3029139.22
2019-11-08,1.0584,1.1919,1.0201,1.0529,5776695.23
2019-11-09,1.0529,1.1653,1.0208,1.1369,3257314.17
2019-11-10,1.1321,1.2354,1.0733,1.1447,4035377.67
2019-11-11,1.149,1.1999,1.11,1.1579,2080656.39
2019-11-12,1.1579,1.17,1.0514,1.089,2063123.14
2019-11-13,1.089,1.11,1.0601,1.0685,736102.41
2019-11-14,1.0694,1.085,0.9875,1.0409,1683584.38
2019-11-15,1.0422,1.0701,1.0102,1.045,1387490.97
2019-11-16,1.0426,1.162,1.0237,1.0998,2855570.15
2019-11-17,1.0957,1.1221,1.0551,1.0716,1169707.81
2019-11-18,1.0716,1.2142,1.066,1.1474,3875454.26
2019-11-19,1.1473,1.3061,1.1383,1.26,5173952.69
2019-11-20,1.26,1.4681,1.17,1.197,6923323.43
2019-11-21,1.197,1.2016,1.043,1.1631,2353515.17
2019-11-22,1.1621,1.2131,1.06,1.1025,2944183.98
2019-11-23,1.1048,1.19,1.0927,1.15,1524300.85
2019-11-24,1.1485,1.2289,1.1307,1.1949,2144576.15
2019-11-25,1.1949,1.1949,0.9924,1.089,2736230.11
2019-11-26,1.089,1.138,1.0709,1.0915,1229805.34
2019-11-27,1.0918,1.0983,1.0166,1.0652,1457034.1
2019-11-28,1.0652,1.098,1.032,1.0611,630862.49
2019-11-29,1.0662,1.1256,1.0601,1.0861,972690.32
2019-11-30,1.086,1.0947,1.06,1.0787,669721.65
2019-12-01,1.0782,1.0783,1.0073,1.0631,703203.13
2019-12-02,1.0663,1.0663,1.0095,1.0218,522904.92
2019-12-03,1.0175,1.0565,1.01,1.0447,553849.51
2019-12-04,1.0447,1.0622,0.9226,0.9404,1074715.24
2019-12-05,0.9425,1.0014,0.8811,0.9258,1103152.98
2019-12-06,0.9258,1.031,0.9089,0.9776,1133416.29
2019-12-07,0.9723,1.01,0.9476,0.9817,527485.1
2019-12-08,0.9811,0.9856,0.9477,0.9584,477944.03
2019-12-09,0.9586,0.9725,0.907,0.9161,360056.08
2019-12-10,0.9161,0.9173,0.7756,0.8026,1059213.68
2019-12-11,0.8026,0.8363,0.799,0.82,381526.93
2019-12-12,0.8222,0.8364,0.801,0.8361,322232.25
2019-12-13,0.8361,0.99,0.8158,0.9667,1747143.55
2019-12-14,0.963,1.0491,0.8921,0.9362,1317205.42
2019-12-15,0.9413,1.0978,0.8912,1.049,1872819.11
2019-12-16,1.049,1.07,0.9533,0.957,997943.94
2019-12-17,0.9595,1.1,0.9533,1.0447,2425968.96
2019-12-18,1.0447,1.0752,0.913,0.9948,1816153.03
2019-12-19,0.9948,1.0353,0.9606,0.9795,719847.19
2019-12-20,0.9813,1.0459,0.9531,1.0349,736362.73
2019-12-21,1.0313,1.1627,1.0226,1.0589,1696582.87
2019-12-22,1.0589,1.13,1.0491,1.0688,939183.43
2019-12-23,1.072,1.0847,0.97,1.0006,733154.36
2019-12-24,1.001,1.112,0.9901,1.071,1036282.48
2019-12-25,1.0666,1.0871,1.0287,1.0678,460903.26
2019-12-26,1.0621,1.136,1.0621,1.0836,940483.32
2019-12-27,1.0836,1.2074,1.0836,1.1991,1023734.5
2019-12-28,1.1995,1.3201,1.171,1.1728,1455734.65
2019-12-29,1.176,1.2127,1.1155,1.1549,871270.05
2019-12-30,1.1547,1.204,1.127,1.1367,729643.28
2019-12-31,1.1367,1.19,1.1163,1.1185,491908.67
2020-01-01,1.1185,1.14,1.0745,1.1364,453949.55
2020-01-02,1.1363,1.1434,1.0128,1.0172,648150.64
2020-01-03,1.0175,1.099,1.0111,1.0241,1094809.13
2020-01-04,1.0241,1.0578,1.0221,1.0401,637514.28
2020-01-05,1.0401,1.065,1.0234,1.031,497836.73
2020-01-06,1.031,1.0578,1.023,1.0529,832457.68
2020-01-07,1.0562,1.1497,1.0468,1.0881,1532631.16
2020-01-08,1.0951,1.0992,1.0332,1.07,786480.92
2020-01-09,1.0732,1.0779,1.025,1.0261,789710.95
2020-01-10,1.0265,1.05,0.9872,1.05,457170.58
2020-01-11,1.0499,1.0504,1.0227,1.025,426350.21
2020-01-12,1.025,1.0432,1.0232,1.0361,148339.1
2020-01-13,1.0362,1.037,0.9947,1.0133,427752.7
2020-01-14,1.0127,1.04,0.997,1.0137,821468.8
2020-01-15,1.014,1.059,1.0085,1.023,669511.97
2020-01-16,1.023,1.133,1.0194,1.0981,1072129.46
2020-01-17,1.0982,1.145,1.0951,1.1125,597761.89
2020-01-18,1.1112,1.1182,1.036,1.0532,321762.73
2020-01-19,1.0594,1.0811,1.03,1.0484,307269.65
2020-01-20,1.0501,1.07,1.0401,1.061,178759.89
2020-01-21,1.0614,1.086,1.0305,1.0799,218182.82
2020-01-22,1.0731,1.0784,1.0481,1.069,126504.09
2020-01-23,1.069,1.13,1.0544,1.0822,484210.6
2020-01-24,1.089,1.0981,1.0491,1.0621,148357.05
2020-01-25,1.0621,1.1299,1.0558,1.1184,359913.61
2020-01-26,1.1184,1.13,1.1,1.1045,139683.39
2020-01-27,1.108,1.1182,1.08,1.0987,292469.71
2020-01-28,1.0981,1.1056,1.0546,1.0722,377466.63
2020-01-29,1.0672,1.0721,1.0381,1.0385,398305.48
2020-01-30,1.0386,1.0715,1.0385,1.0479,379866.96
2020-01-31,1.0461,1.115,1.0425,1.0565,1324576.01
2020-02-01,1.0564,1.08,1.0515,1.0563,452931.33
2020-02-02,1.0565,1.0637,1.0373,1.0506,425035.28
2020-02-03,1.0494,1.0655,1.0399,1.0553,565482.76
2020-02-04,1.0552,1.21,1.0442,1.1502,2338230.92
2020-02-05,1.1502,1.273,1.0852,1.2002,2134950.06
2020-02-06,1.2004,1.4,1.2,1.287,983879.44
2020-02-07,1.287,1.3599,1.2324,1.237,506754.83
2020-02-08,1.237,1.2397,1.1271,1.152,1032963.91
2020-02-09,1.152,1.222,1.1517,1.1898,534442.86
2020-02-10,1.1918,1.1991,1.1401,1.159,523396.54
2020-02-11,1.1585,1.181,1.139,1.1745,644475.94
2020-02-12,1.1745,1.289,1.1517,1.2186,1670070.65
2020-02-13,1.2187,1.2512,1.1559,1.1615,797424.51
2020-02-14,1.1611,1.235,1.1488,1.2083,603386.9
2020-02-15,1.21,1.2306,1.0927,1.1094,589976.82
2020-02-16,1.1094,1.1242,0.9208,1.048,963842.99
2020-02-17,1.0485,1.05,0.915,0.9754,954122.78
2020-02-18,0.9807,1.0361,0.9517,0.97,1357682.51
2020-02-19,0.97,1.0026,0.8305,0.8571,1564768.5
2020-02-20,0.8526,0.8979,0.8261,0.8867,1719331.73
2020-02-21,0.8874,0.9329,0.8631,0.8797,855382.31
2020-02-22,0.8797,0.8989,0.854,0.8855,330647.83
2020-02-23,0.8925,0.98,0.887,0.9576,925911.16
2020-02-24,0.9576,0.9799,0.8513,0.8846,1080576.72
2020-02-25,0.8846,0.8989,0.8243,0.8449,443060.09
2020-02-26,0.84,0.95,0.76,0.8366,2035893.88
2020-02-27,0.838,0.8824,0.8013,0.8344,810325.08
2020-02-28,0.8344,0.8815,0.7918,0.8173,642561.83
2020-02-29,0.816,0.8493,0.8,0.8121,375936.61
2020-03-01,0.8121,0.8569,0.779,0.8298,352477.67
2020-03-02,0.8254,0.8785,0.8225,0.8557,526411.88
2020-03-03,0.8571,0.9255,0.8505,0.8807,849550.07
2020-03-04,0.8807,0.9361,0.866,0.9206,1183932.66
2020-03-05,0.9206,0.9678,0.8997,0.9248,1219232.96
2020-03-06,0.9213,0.9355,0.88,0.8911,576071.23
2020-03-07,0.8913,0.9422,0.8427,0.8534,1041489.75
2020-03-08,0.852,0.953,0.7989,0.8052,2323966.37
2020-03-09,0.8022,0.855,0.77,0.8259,1151507.65
2020-03-10,0.8259,0.93,0.78,0.8977,1728430.05
2020-03-11,0.8972,0.9896,0.8092,0.8808,3127462.69
2020-03-12,0.8808,0.8963,0.3638,0.38,3711875.76
2020-03-13,0.38,0.5199,0.2403,0.4418,2229141.35
2020-03-14,0.4515,0.4712,0.393,0.4055,994625.78
2020-03-15,0.407,0.4698,0.4002,0.4139,847359.21
2020-03-16,0.4136,0.4145,0.3084,0.345,997826.39
2020-03-17,0.345,0.4026,0.3395,0.3843,477382.11
2020-03-18,0.386,0.3927,0.3456,0.3885,605148.01
2020-03-19,0.3908,0.4499,0.3505,0.4258,1108387.99
2020-03-20,0.4278,0.488,0.37,0.4228,787656.32
2020-03-21,0.4229,0.4426,0.3971,0.4261,295662.5
2020-03-22,0.4243,0.4387,0.3843,0.3879,217712.67
2020-03-23,0.3842,0.4439,0.3802,0.4393,461607.56
2020-03-24,0.4399,0.4669,0.4238,0.4418,417252.09
2020-03-25,0.4444,0.525,0.4302,0.5151,833723.8
2020-03-26,0.5168,0.5509,0.4767,0.5086,1333684.61
2020-03-27,0.5116,0.5198,0.4504,0.4571,438486.74
2020-03-28,0.4527,0.4741,0.4306,0.4546,712101.75
2020-03-29,0.4547,0.4566,0.4155,0.4269,350289.11
2020-03-30,0.4241,0.4994,0.4238,0.4661,489238.43
2020-03-31,0.4672,0.5162,0.4672,0.4864,623762.87
2020-04-01,0.4885,0.5058,0.4487,0.4895,778096.51
2020-04-02,0.4895,0.5455,0.4735,0.5069,1080046.88
2020-04-03,0.5083,0.5426,0.4981,0.5116,667778.04
2020-04-04,0.5094,0.5211,0.491,0.5141,10537811.24
2020-04-05,0.5149,0.57,0.5056,0.536,6978276.16
2020-04-06,0.535,0.6023,0.5265,0.6014,15853291.14
2020-04-07,0.6006,0.6147,0.5538,0.5683,11054061.13
2020-04-08,0.569,0.5809,0.5578,0.5764,4078370.38
2020-04-09,0.5751,0.5834,0.5455,0.5517,3792848.17
2020-04-10,0.5529,0.5543,0.4868,0.4999,4666938.97
