time,open,high,low,close,volume
2019-11-28,220.08,224.6,212.02,217.41,11556.80086
2019-11-29,217.4,226.49,216.9,224.0,50234.55027
2019-11-30,223.89,224.67,214.41,217.45,47622.18011
2019-12-01,217.43,218.18,209.24,214.36,46721.57914
2019-12-02,214.37,216.25,209.68,213.67,43397.32559
2019-12-03,213.72,215.95,210.99,211.5,28430.46455
2019-12-04,211.47,219.68,202.5,207.47,93351.89396
2019-12-05,207.36,214.46,200.88,211.5,58415.66785
2019-12-06,211.6,214.0,209.2,212.84,36081.71398
2019-12-07,212.9,216.62,210.01,211.0,26962.16937
2019-12-08,210.97,214.89,208.0,212.58,23530.67976
2019-12-09,212.42,215.08,205.4,208.27,36474.63924
2019-12-10,208.18,209.35,203.71,206.54,27927.89853
2019-12-11,206.63,207.99,204.05,207.01,15264.51196
2019-12-12,207.1,207.97,203.67,206.79,26540.59504
2019-12-13,206.62,212.71,206.25,211.32,33534.36619
2019-12-14,211.44,213.11,204.67,205.82,34067.96904
2019-12-15,205.87,211.72,204.88,206.88,37076.8692
2019-12-16,206.87,208.67,193.85,196.27,82405.61891
2019-12-17,196.26,196.96,172.1,176.45,127025.58764
2019-12-18,176.45,191.75,169.66,189.0,144833.0183
2019-12-19,188.9,191.0,183.49,185.96,54337.20347
2019-12-20,186.07,190.72,183.82,187.44,43236.75189
2019-12-21,187.39,188.43,185.33,186.21,19488.47281
2019-12-22,186.21,197.4,185.73,196.27,54636.39805
2019-12-23,196.28,198.0,188.2,189.61,57146.5522
2019-12-24,189.66,191.68,185.0,188.3,50765.49176
2019-12-25,188.31,188.78,182.69,185.34,31724.59117
2019-12-26,185.34,194.99,184.01,187.79,48012.30969
2019-12-27,187.7,203.92,186.83,203.21,120980.63718
2019-12-28,203.33,210.0,202.53,206.27,81593.20921
2019-12-29,206.26,215.94,204.34,212.34,80763.47218
2019-12-30,212.29,215.0,205.65,208.62,76221.01161
2019-12-31,208.61,214.11,201.73,204.52,89320.43252
2020-01-01,204.57,209.0,203.1,204.44,43234.9585
2020-01-02,204.43,205.53,192.8,195.49,76481.1405
2020-01-03,195.49,226.0,191.9,222.43,236151.17473
2020-01-04,222.38,227.64,219.56,224.47,110315.64423
2020-01-05,224.45,227.63,220.6,222.79,90338.28418
2020-01-06,222.82,247.0,222.2,244.25,177504.59026
2020-01-07,244.26,246.9,232.0,242.3,180860.80127
2020-01-08,242.48,255.19,229.59,240.19,238290.07035
2020-01-09,240.13,243.89,231.26,238.01,109003.33057
2020-01-10,238.06,275.0,231.13,271.83,311448.58074
2020-01-11,271.95,279.49,258.68,260.83,199691.49268
2020-01-12,260.69,271.39,257.85,270.77,105180.61526
2020-01-13,270.85,272.99,261.06,267.21,91495.50923
2020-01-14,267.24,368.08,267.14,348.35,827847.55896
2020-01-15,348.35,362.89,312.62,339.99,498653.95613
2020-01-16,340.0,342.96,309.2,326.76,247311.30454
2020-01-17,326.58,383.92,319.46,368.0,395293.4218
2020-01-18,367.98,405.86,330.0,339.01,482356.86961
2020-01-19,338.79,366.27,319.78,339.61,305020.88339
2020-01-20,339.54,352.94,322.46,343.39,171058.37052
2020-01-21,343.38,348.22,332.05,343.5,107803.73807
2020-01-22,343.5,354.52,339.16,349.22,96093.49399
2020-01-23,349.11,350.15,316.36,325.21,135190.02823
2020-01-24,325.09,327.95,297.0,318.83,217601.81697
2020-01-25,318.82,319.27,305.1,310.13,100771.89962
2020-01-26,310.29,349.96,307.43,348.24,176481.76156
2020-01-27,348.25,378.19,347.65,362.86,248777.01991
2020-01-28,362.9,385.38,360.26,378.6,210830.79139
2020-01-29,378.43,396.31,375.8,380.26,200640.1964
2020-01-30,380.24,399.34,370.88,392.69,197841.16173
2020-01-31,392.52,394.99,364.16,374.86,146704.06246
2020-02-01,374.89,389.64,372.31,380.08,106551.71789
2020-02-02,380.16,387.7,368.91,377.34,98738.97527
